mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.929363489151001,3.574951794809703,0.010396718978881836,0.012878428547863885,100,0.01,"{'n_estimators': 100, 'learning_rate': 0.01}",,0.16091954022988506,0.21839080459770116,,,,,1
9.992052793502808,12.17661025089685,0.056412124633789064,0.07321117640334948,300,0.01,"{'n_estimators': 300, 'learning_rate': 0.01}",,0.19540229885057472,0.26436781609195403,,,,,1
12.027028656005859,14.650194225270404,0.0745419979095459,0.09230738672392345,400,0.01,"{'n_estimators': 400, 'learning_rate': 0.01}",,0.1839080459770115,0.25287356321839083,,,,,1
18.93233242034912,23.110471302860304,0.2822437286376953,0.3459611613338842,500,0.01,"{'n_estimators': 500, 'learning_rate': 0.01}",,0.1839080459770115,0.26436781609195403,,,,,1
28.392551326751708,34.77091151667818,0.17577667236328126,0.2210736136289846,700,0.01,"{'n_estimators': 700, 'learning_rate': 0.01}",,0.19540229885057472,0.26436781609195403,,,,,1
42.46684627532959,52.05038232321226,0.18281292915344238,0.2269811308872212,1000,0.01,"{'n_estimators': 1000, 'learning_rate': 0.01}",,0.19540229885057472,0.25287356321839083,,,,,1
3.303957462310791,4.045300815749659,0.010392904281616211,0.012743028065590696,100,0.05,"{'n_estimators': 100, 'learning_rate': 0.05}",,0.1839080459770115,0.25287356321839083,,,,,1
8.84220380783081,10.827874359405884,0.050757408142089844,0.06307563814138027,300,0.05,"{'n_estimators': 300, 'learning_rate': 0.05}",,0.21839080459770116,0.25287356321839083,,,,,1
10.819265365600586,13.249834258541364,0.07055678367614746,0.08778962401882208,400,0.05,"{'n_estimators': 400, 'learning_rate': 0.05}",,0.22988505747126436,0.27586206896551724,,,,,1
12.850042581558228,15.737768080718874,0.08529086112976074,0.10570029460853801,500,0.05,"{'n_estimators': 500, 'learning_rate': 0.05}",,0.22988505747126436,0.27586206896551724,,,,,1
21.600524139404296,26.457425722221988,0.303709077835083,0.37196697997353706,700,0.05,"{'n_estimators': 700, 'learning_rate': 0.05}",,0.22988505747126436,0.27586206896551724,,,,,1
29.085411643981935,35.66154235062667,0.1813364028930664,0.222093006843902,1000,0.05,"{'n_estimators': 1000, 'learning_rate': 0.05}",,0.20689655172413793,0.27586206896551724,,,,,1
3.1473026275634766,3.8628795474956124,0.01152787208557129,0.014119668544521938,100,0.1,"{'n_estimators': 100, 'learning_rate': 0.1}",,0.21839080459770116,0.25287356321839083,,,,,1
9.771029376983643,11.96493929966574,0.13232421875,0.16206775306567509,300,0.1,"{'n_estimators': 300, 'learning_rate': 0.1}",,0.21839080459770116,0.27586206896551724,,,,,1
15.688923740386963,19.215323527655467,0.1559436321258545,0.19493855193553533,400,0.1,"{'n_estimators': 400, 'learning_rate': 0.1}",,0.20689655172413793,0.26436781609195403,,,,,1
17.972364091873168,22.009897770362922,0.09398317337036133,0.11663664161075368,500,0.1,"{'n_estimators': 500, 'learning_rate': 0.1}",,0.20689655172413793,0.25287356321839083,,,,,1
22.306482458114623,27.356277052010014,0.12207856178283691,0.1528718865632022,700,0.1,"{'n_estimators': 700, 'learning_rate': 0.1}",,0.19540229885057472,0.2413793103448276,,,,,1
28.059593963623048,34.364459258915986,0.14265022277832032,0.17471084038939796,1000,0.1,"{'n_estimators': 1000, 'learning_rate': 0.1}",,0.19540229885057472,0.2413793103448276,,,,,1
6.8914929866790775,8.43317637902885,0.03583846092224121,0.044047012091134354,100,0.2,"{'n_estimators': 100, 'learning_rate': 0.2}",,0.19540229885057472,0.2413793103448276,,,,,1
11.12398853302002,13.625191556415848,0.03646941184997558,0.04467544039135232,300,0.2,"{'n_estimators': 300, 'learning_rate': 0.2}",,0.20689655172413793,0.26436781609195403,,,,,1
11.978143739700318,14.662534475761111,0.07279791831970214,0.08917362639223211,400,0.2,"{'n_estimators': 400, 'learning_rate': 0.2}",,0.1839080459770115,0.2413793103448276,,,,,1
13.262697458267212,16.24890957115422,0.07380084991455078,0.09049607116225382,500,0.2,"{'n_estimators': 500, 'learning_rate': 0.2}",,0.1839080459770115,0.2413793103448276,,,,,1
16.516215801239014,20.2232895119297,0.07314181327819824,0.0907780145434909,700,0.2,"{'n_estimators': 700, 'learning_rate': 0.2}",,0.1724137931034483,0.2413793103448276,,,,,1
18.3321653842926,22.456852844226564,0.07469515800476074,0.09165877591129884,1000,0.2,"{'n_estimators': 1000, 'learning_rate': 0.2}",,0.16091954022988506,0.22988505747126436,,,,,1
3.2944328784942627,4.049139588361818,0.014087343215942382,0.017547392830624998,100,0.3,"{'n_estimators': 100, 'learning_rate': 0.3}",,0.1839080459770115,0.2413793103448276,,,,,1
7.642440414428711,9.419543950464625,0.0403022289276123,0.05073561539764604,300,0.3,"{'n_estimators': 300, 'learning_rate': 0.3}",,0.21839080459770116,0.2413793103448276,,,,,1
9.547986268997192,11.739053791854825,0.038443374633789065,0.0471225494179529,400,0.3,"{'n_estimators': 400, 'learning_rate': 0.3}",,0.20689655172413793,0.2413793103448276,,,,,1
10.666902589797974,13.06229559680643,0.03777470588684082,0.04634156414948814,500,0.3,"{'n_estimators': 500, 'learning_rate': 0.3}",,0.20689655172413793,0.2413793103448276,,,,,1
11.781229734420776,14.438349751034568,0.053400421142578126,0.0659754362034496,700,0.3,"{'n_estimators': 700, 'learning_rate': 0.3}",,0.19540229885057472,0.22988505747126436,,,,,1
12.980232572555542,15.894407080669017,0.074058198928833,0.09073719622335388,1000,0.3,"{'n_estimators': 1000, 'learning_rate': 0.3}",,0.19540229885057472,0.2413793103448276,,,,,1
